"id","date","uri","uri_lvl_0","uri_lvl_1","uri_title","session_key"
28062,2025-02-06 11:14:14.443 +0700,http://yudopr.dev/,home,,Home,"4zkdzzl2ls6u8h116x3lvpgri1ptkvi3"
28061,2025-02-06 10:53:42.200 +0700,http://yudopr.dev/,home,,Home,oen3ypimczgvqzwf8b2lxesrlkfpjagq
28060,2025-02-06 09:58:06.763 +0700,http://yudopr.dev/,home,,Home,pl4b806u2bl03nf49jp521he7i9ftwlx
28059,2025-02-06 09:58:06.338 +0700,http://yudopr.dev/,home,,Home,pl4b806u2bl03nf49jp521he7i9ftwlx
28058,2025-02-06 09:33:32.440 +0700,http://yudopr.dev/,home,,Home,hssk6sdtegxwo0sc2gc6zlthsqchwutx
28057,2025-02-06 09:24:10.804 +0700,http://yudopr.dev/blog/c56/,"404",,Halaman tidak ditemukan,"0nyb0hy779x7sstusw3sa3p5do3z4vj5"
28056,2025-02-06 08:16:54.774 +0700,http://yudopr.dev/,home,,Home,jbzfgjl4lma5uxwv1lfd5hfxp73bhei4
28055,2025-02-06 08:12:30.965 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),xnukqgh2u5bi4va0h0qoyv3e35937qop
28054,2025-02-06 08:08:51.249 +0700,http://yudopr.dev/,home,,Home,ld9kys4fg90ulul8jo061z7sr930kn6h
28053,2025-02-06 08:08:50.678 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),cpwb7qz2com9f6z99tmxnn1afi2wejns
28052,2025-02-06 07:13:52.567 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),itohl0vybzdle394pfxqtjsk63q700x2
28051,2025-02-06 07:13:52.045 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),do2w9l5tcm0z1xb2v6bpmpkqe4vlwqxm
28050,2025-02-06 06:53:22.596 +0700,http://yudopr.dev/,home,,Home,u1l4sau42tnlo8ngv01zwgwy6g4dmje8
28049,2025-02-06 05:54:17.902 +0700,http://yudopr.dev/blog/k-means/,blog,k-means,K-Means: Algoritma Clustering Populer untuk Analisis Data (K-Means: A Popular Clustering Algorithm for Data Analysis),wsfpj8lkjwpmnpa1d4nqqbvtjhurznoi
28048,2025-02-06 05:52:59.896 +0700,http://yudopr.dev/,home,,Home,ifsvi70gsncj3ag19a5gzkx9brtgbm61
28047,2025-02-06 04:16:17.571 +0700,http://yudopr.dev/blog/k-means/,blog,k-means,K-Means: Algoritma Clustering Populer untuk Analisis Data (K-Means: A Popular Clustering Algorithm for Data Analysis),"8n9ejw4h34re5pzck4n8ofl0ul8uiywt"
28046,2025-02-06 04:06:08.579 +0700,http://yudopr.dev/blog/belajar-sql/,blog,belajar-sql,Belajar SQL (Learn SQL),mrm47j4b22060pfex917m0lxr4f328nm
28045,2025-02-06 04:06:07.894 +0700,http://yudopr.dev/blog/belajar-sql/,blog,belajar-sql,Belajar SQL (Learn SQL),mrm47j4b22060pfex917m0lxr4f328nm
28044,2025-02-06 04:06:06.947 +0700,http://yudopr.dev/blog/koleksi-dataset/,blog,koleksi-dataset,Koleksi Dataset (Dataset and Database Collections),mrm47j4b22060pfex917m0lxr4f328nm
28043,2025-02-06 04:06:06.230 +0700,http://yudopr.dev/blog/koleksi-dataset/,blog,koleksi-dataset,Koleksi Dataset (Dataset and Database Collections),mrm47j4b22060pfex917m0lxr4f328nm
28042,2025-02-06 04:06:04.937 +0700,http://yudopr.dev/blog/,blog,,,mrm47j4b22060pfex917m0lxr4f328nm
28041,2025-02-06 04:06:03.479 +0700,http://yudopr.dev/,home,,Home,mrm47j4b22060pfex917m0lxr4f328nm
28040,2025-02-06 03:34:23.256 +0700,http://yudopr.dev/,home,,Home,"74lyrhijgogce1tiw1boir4w9ivnehd3"
28039,2025-02-06 03:34:21.743 +0700,http://yudopr.dev/,home,,Home,"74lyrhijgogce1tiw1boir4w9ivnehd3"
28038,2025-02-06 02:51:10.534 +0700,http://yudopr.dev/blog/k-means/,blog,k-means,K-Means: Algoritma Clustering Populer untuk Analisis Data (K-Means: A Popular Clustering Algorithm for Data Analysis),ky6vrwiuepbaymzwhdo8qwhhjua4m5b3
28037,2025-02-06 01:42:47.898 +0700,http://yudopr.dev/blog/koleksi-dataset/,blog,koleksi-dataset,Koleksi Dataset (Dataset and Database Collections),yn5c9p93pl5k641gzro58e6jynwz6axi
28036,2025-02-06 01:42:41.461 +0700,http://yudopr.dev/blog/belajar-sql/,blog,belajar-sql,Belajar SQL (Learn SQL),n8nai0b3wptoe4khmdjtibkaeaqstvlo
28035,2025-02-06 01:42:15.331 +0700,http://yudopr.dev/blog/,blog,,,whtdwzmco8xf2a0ez55psg8jogadccps
28034,2025-02-06 01:41:56.667 +0700,http://yudopr.dev/,home,,Home,juk82p1nooksc8wrlk95wchfegtifgjv
28033,2025-02-06 01:05:22.509 +0700,http://yudopr.dev/,home,,Home,"8caf667hvjzgm2cwvhv3mpqvbqpg0eyp"
28032,2025-02-05 21:48:43.187 +0700,http://yudopr.dev/blog/,blog,,,"7uu8x94q0mf7urkb6vcsvt7coloi5aty"
28031,2025-02-05 21:01:02.740 +0700,http://yudopr.dev/,home,,Home,"9sxri28n4dieowqhqzndk4b6vfi1zjry"
28030,2025-02-05 19:50:46.955 +0700,http://yudopr.dev/,home,,Home,cmukspe7suwhhfl87abi3856xh0tg4hd
28029,2025-02-05 19:04:12.471 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),gy5tmeuzbe5a7ui6lv0pm8yksuv28u10
28028,2025-02-05 18:28:36.694 +0700,http://yudopr.dev/,home,,Home,kftjwygeqj8hmb4jpf8ni9ofeszos2lm
28027,2025-02-05 18:28:35.143 +0700,http://yudopr.dev/,home,,Home,kftjwygeqj8hmb4jpf8ni9ofeszos2lm
28026,2025-02-05 17:52:23.572 +0700,http://yudopr.dev/blog/koleksi-dataset/,blog,koleksi-dataset,Koleksi Dataset (Dataset and Database Collections),w2j5wymy8zfng8yyiy4cex7nb6hnzuor
28025,2025-02-05 17:52:19.477 +0700,http://yudopr.dev/blog/belajar-sql/,blog,belajar-sql,Belajar SQL (Learn SQL),"3n0ygnz3b3rma9rxzwi8g0s7c7ac9vor"
28024,2025-02-05 17:52:15.398 +0700,http://yudopr.dev/blog/,blog,,,etluld3l8qn0smd92j4fdm5amap3h5lj
28023,2025-02-05 16:51:49.607 +0700,http://yudopr.dev/,home,,Home,g2b0n67yljvm3ambdtfaam9sympcmhrl
28022,2025-02-05 15:05:51.708 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),keupb2pbpkf6nwl9lqj0x1c8ffecq6m3
28021,2025-02-05 14:55:34.639 +0700,http://yudopr.dev/,home,,Home,c1ltl0ew3v5ztx5dp6ubjnixmmpqbstx
28020,2025-02-05 14:37:18.426 +0700,http://yudopr.dev/,home,,Home,jnsp94ohwm77ncu8m85w8kwty8lbb623
28019,2025-02-05 14:03:10.835 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),zfjiel0g4e38wbixw87wmnpnoix4bqv2
28018,2025-02-05 13:59:27.261 +0700,http://yudopr.dev/,home,,Home,"89urce31wm3dcr3fg743z269a5mmo1xt"
28017,2025-02-05 12:50:44.281 +0700,http://yudopr.dev/feed/,"404",,Halaman tidak ditemukan,ue1fbqmklsihvovtn35le983t500aeo6
28016,2025-02-05 12:28:19.448 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),"0271rp0n56l6plh48ul29yuoemvv285d"
28015,2025-02-05 12:23:03.378 +0700,http://yudopr.dev/,home,,Home,dbo5dwfoeseuqnzodz9jkgr1ome16tdh
28014,2025-02-05 12:15:32.795 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),"042y33howdcnus4z1ab18st8si9palb8"
28013,2025-02-05 11:37:11.629 +0700,http://yudopr.dev/,home,,Home,fwjf175vo0i5ag1bowrhuoxk65r3tx27
28012,2025-02-05 11:33:48.338 +0700,http://yudopr.dev/,home,,Home,col6uerynyyb4letiinkyytqfjhnx12j
28011,2025-02-05 10:58:22.231 +0700,http://yudopr.dev/blog/k-means/,blog,k-means,K-Means: Algoritma Clustering Populer untuk Analisis Data (K-Means: A Popular Clustering Algorithm for Data Analysis),xd39wb0kkgzx9jdfg0o3rcuxlo2hsl4a
28010,2025-02-05 10:02:13.868 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),cvxlfqffl2f0i6j2v5aol758hkfs842i
28009,2025-02-05 09:49:25.554 +0700,http://yudopr.dev/,home,,Home,"73i082q467z9nw2m4sdvxennv378qlsv"
28008,2025-02-05 09:38:58.436 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),"7hhtfuq15z9p6gc1d0lyagn5j8k3yp8i"
28007,2025-02-05 09:35:02.598 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),"793ssgovlytptsv991br69608qv32cm8"
28006,2025-02-05 09:33:57.385 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),gg3a00s1cjpnqn9qiyu6pnu7zfzq9pbf
28005,2025-02-05 09:08:01.802 +0700,http://yudopr.dev/blog/k-means/,blog,k-means,K-Means: Algoritma Clustering Populer untuk Analisis Data (K-Means: A Popular Clustering Algorithm for Data Analysis),q8ndsb7ww5szi5d5lb8xh3kys9vxgrvt
28004,2025-02-05 07:59:48.924 +0700,http://yudopr.dev/blog/ukuran-pemusatan-data/,blog,ukuran-pemusatan-data,Ukuran Pemusatan Data (Central Tendency),gpf0kr94gtcxh8wnx78en7j7irwoe9p4
28003,2025-02-05 07:58:35.864 +0700,http://yudopr.dev/blog/mengambil-data-tiktok-dengan-python/,blog,mengambil-data-tiktok-dengan-python,Mengambil Data TikTok dengan Python (Fetching TikTok Data in Python),kr81l3vjy2bepcw7ci4uqfha1d05kaiu
28002,2025-02-05 07:36:37.799 +0700,http://yudopr.dev/,home,,Home,"7gie2ht38jm1libf64dih68n5fdypgbm"
28001,2025-02-05 05:50:54.422 +0700,http://yudopr.dev/hyIPpxWDQ.php/,"404",,Halaman tidak ditemukan,"3oar5mp2zcn6qy8nzqn1v0upmb0eqx6k"
28000,2025-02-05 05:44:41.647 +0700,http://yudopr.dev/blog/belajar-sql/,blog,belajar-sql,Belajar SQL (Learn SQL),"7lgn1uicqylm9dj2snjhmhx6sstxl3s3"
27999,2025-02-05 05:44:40.480 +0700,http://yudopr.dev/blog/belajar-sql/,blog,belajar-sql,Belajar SQL (Learn SQL),"7lgn1uicqylm9dj2snjhmhx6sstxl3s3"
27998,2025-02-05 05:44:38.981 +0700,http://yudopr.dev/blog/koleksi-dataset/,blog,koleksi-dataset,Koleksi Dataset (Dataset and Database Collections),"7lgn1uicqylm9dj2snjhmhx6sstxl3s3"
27997,2025-02-05 05:44:38.185 +0700,http://yudopr.dev/blog/koleksi-dataset/,blog,koleksi-dataset,Koleksi Dataset (Dataset and Database Collections),"7lgn1uicqylm9dj2snjhmhx6sstxl3s3"
27996,2025-02-05 05:44:36.676 +0700,http://yudopr.dev/blog/,blog,,,"7lgn1uicqylm9dj2snjhmhx6sstxl3s3"
27995,2025-02-05 05:44:35.807 +0700,http://yudopr.dev/,home,,Home,"7lgn1uicqylm9dj2snjhmhx6sstxl3s3"
27994,2025-02-05 04:50:19.963 +0700,http://yudopr.dev/,home,,Home,"5o9r5syu8xrfmqee4zwsaopirkrv2f2c"
27993,2025-02-05 01:13:47.909 +0700,http://yudopr.dev/,home,,Home,si5ms24ehqpzum2wt30qbeau78x4risl
27992,2025-02-05 00:23:16.987 +0700,http://yudopr.dev/,home,,Home,"8fa7fw3auagdvq1gkie7kd2dcsavlopy"
27991,2025-02-04 23:32:15.215 +0700,http://yudopr.dev/,home,,Home,qc45yl9jolw1603is8r2dqyuzew7652r
27990,2025-02-04 23:15:39.154 +0700,http://yudopr.dev/,home,,Home,wpq4e7ue0v08gw6xobxezqy1l2t2umib
27989,2025-02-04 23:02:26.311 +0700,http://yudopr.dev/chosen.php/?p=,"404",,Halaman tidak ditemukan,"56x1jde4anuwdcbkdaw32t9uqxn7qha5"
27988,2025-02-04 23:02:23.022 +0700,http://yudopr.dev/,home,,Home,o1bdr3uqxa1e8duncirdxym9rkg21vpb
